Input	Match type	Approved symbol	Approved name	HGNC ID	Location
C10orf27	Previous symbol	TBATA	thymus, brain and testes associated	HGNC:23511	10q22.2
C10orf28	Previous symbol	R3HCC1L	R3H domain and coiled-coil containing 1 like	HGNC:23512	10q24.2
C10orf32	Previous symbol	BORCS7	BLOC-1 related complex subunit 7	HGNC:23516	10q24.33
C10orf46	Previous symbol	CACUL1	CDK2 associated cullin domain 1	HGNC:23727	10q26.13
C10orf47	Previous symbol	PROSER2	proline and serine rich 2	HGNC:23728	10p14
C10orf57	Previous symbol	TMEM254	transmembrane protein 254	HGNC:25804	10q23.1
C10orf58	Previous symbol	FAM213A	family with sequence similarity 213 member A	HGNC:28651	10q23.1
C10orf68	Previous symbol	CCDC7	coiled-coil domain containing 7	HGNC:26533	10p11.23
C10orf72	Previous symbol	VSTM4	V-set and transmembrane domain containing 4	HGNC:26470	10q11.23
C10orf78	Previous symbol	SFR1	SWI5 dependent homologous recombination repair protein 1	HGNC:29574	10q25.1
C10orf79	Previous symbol	CFAP43	cilia and flagella associated protein 43	HGNC:26684	10q25.1
C10orf81	Previous symbol	PLEKHS1	pleckstrin homology domain containing S1	HGNC:26285	10q26.11
C10orf84	Previous symbol	FAM204A	family with sequence similarity 204 member A	HGNC:25794	10q26.12
C10orf93	Previous symbol	CFAP46	cilia and flagella associated protein 46	HGNC:25247	10q26.3
C10orf96	Previous symbol	CCDC172	coiled-coil domain containing 172	HGNC:30524	10q26.11-q26.12
C11orf10	Previous symbol	TMEM258	transmembrane protein 258	HGNC:1164	11q12.2
C11orf17	Previous symbol	AKIP1	A-kinase interacting protein 1	HGNC:1170	11p15.3
C11orf2	Previous symbol	VPS51	VPS51, GARP complex subunit	HGNC:1172	11q13.1
C11orf20	Previous symbol	TEX40	testis expressed 40	HGNC:19231	11q13.1
C11orf30	Previous symbol	EMSY	EMSY, BRCA2 interacting transcriptional repressor	HGNC:18071	11q13.5
C11orf34	Previous symbol	PLET1	placenta expressed transcript 1	HGNC:30053	11q23.1
C11orf35	Previous symbol	LMNTD2	lamin tail domain containing 2	HGNC:28561	11p15.5
C11orf41	Previous symbol	KIAA1549L	KIAA1549-like	HGNC:24836	11p13
C11orf46	Previous symbol	ARL14EP	ADP ribosylation factor like GTPase 14 effector protein	HGNC:26798	11p14.1
C11orf48	Previous symbol	C11orf98	chromosome 11 open reading frame 98	HGNC:51238	11q12.3
C11orf48	Previous symbol	LBHD1	LBH domain containing 1	HGNC:28351	11q12.3
C11orf51	Previous symbol	ANAPC15	anaphase promoting complex subunit 15	HGNC:24531	11q13.4
C11orf59	Previous symbol	LAMTOR1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1	HGNC:26068	11q13.4
C11orf61	Previous symbol	MSANTD2	Myb/SANT DNA binding domain containing 2	HGNC:26266	11q24.2
C11orf66	Previous symbol	PPP1R32	protein phosphatase 1 regulatory subunit 32	HGNC:28869	11q12.2
C11orf67	Previous symbol	AAMDC	adipogenesis associated, Mth938 domain containing	HGNC:30205	11q14.1
C11orf75	Previous symbol	SMCO4	single-pass membrane protein with coiled-coil domains 4	HGNC:24810	11q21
C11orf82	Previous symbol	DDIAS	DNA damage induced apoptosis suppressor	HGNC:26351	11q14.1
C11orf83	Previous symbol	UQCC3	ubiquinol-cytochrome c reductase complex assembly factor 3	HGNC:34399	11q12.3
C11orf9	Previous symbol	MYRF	myelin regulatory factor	HGNC:1181	11q12-q13.1
C11orf90	Previous symbol	VSTM5	V-set and transmembrane domain containing 5	HGNC:34443	11q21
C11orf92	Previous symbol	COLCA1	colorectal cancer associated 1	HGNC:33789	11q23.1
C11orf93	Previous symbol	COLCA2	colorectal cancer associated 2	HGNC:26978	11q23.1
C12orf11	Previous symbol	ASUN	asunder, spermatogenesis regulator	HGNC:20174	12p12.3
C12orf12	Previous symbol	CCER1	coiled-coil glutamate rich protein 1	HGNC:28373	12q21.33
C12orf23	Previous symbol	TMEM263	transmembrane protein 263	HGNC:28281	12q23.3
C12orf24	Previous symbol	FAM216A	family with sequence similarity 216 member A	HGNC:30180	12q24.11
C12orf26	Previous symbol	METTL25	methyltransferase like 25	HGNC:26228	12q21.31
C12orf34	Previous symbol	FAM222A	family with sequence similarity 222 member A	HGNC:25915	12q24.11
C12orf35	Previous symbol	KIAA1551	KIAA1551	HGNC:25559	12p11.21
C12orf36	Previous symbol	LINC01559	long intergenic non-protein coding RNA 1559	HGNC:26598	12p13.1
C12orf39	Previous symbol	SPX	spexin hormone	HGNC:28139	12p12.1
C12orf41	Previous symbol	KANSL2	KAT8 regulatory NSL complex subunit 2	HGNC:26024	12q13.11
C12orf44	Previous symbol	ATG101	autophagy related 101	HGNC:25679	12q13.13
C12orf48	Previous symbol	PARPBP	PARP1 binding protein	HGNC:26074	12q23.2
C12orf5	Previous symbol	TIGAR	TP53 induced glycolysis regulatory phosphatase	HGNC:1185	12p13.32
C12orf51	Previous symbol	HECTD4	HECT domain E3 ubiquitin protein ligase 4	HGNC:26611	12q24.13
C12orf52	Previous symbol	RITA1	RBPJ interacting and tubulin associated 1	HGNC:25925	12q24.13
C12orf53	Previous symbol	PIANP	PILR alpha associated neural protein	HGNC:25338	12p13.31
C12orf59	Previous symbol	TMEM52B	transmembrane protein 52B	HGNC:26438	12p13.2
C12orf61	Previous symbol	LINC01465	long intergenic non-protein coding RNA 1465	HGNC:26364	12q14.1
C12orf62	Previous symbol	COX14	COX14 cytochrome c oxidase assembly factor	HGNC:28216	12q13.12
C12orf63	Previous symbol	CFAP54	cilia and flagella associated 54	HGNC:26456	12q23.1
C12orf64	Previous symbol	OTOGL	otogelin like	HGNC:26901	12q21.31
C12orf68	Previous symbol	CCDC184	coiled-coil domain containing 184	HGNC:33749	12q13.11
C12orf69	Previous symbol	SMCO3	single-pass membrane protein with coiled-coil domains 3	HGNC:34401	12p12.3
C12orf70	Previous symbol	SMCO2	single-pass membrane protein with coiled-coil domains 2	HGNC:34448	12p11.23
C12orf72	Previous symbol	ETFBKMT	electron transfer flavoprotein beta subunit lysine methyltransferase	HGNC:28739	12p11.21
C13orf1	Previous symbol	SPRYD7	SPRY domain containing 7	HGNC:14297	13q14.3
C13orf15	Previous symbol	RGCC	regulator of cell cycle	HGNC:20369	13q14.11
C13orf16	Previous symbol	TEX29	testis expressed 29	HGNC:20370	13q34
C13orf18	Previous symbol	KIAA0226L	KIAA0226-like	HGNC:20420	13q14.11
C13orf23	Previous symbol	PROSER1	proline and serine rich 1	HGNC:20291	13q13.2
C13orf26	Previous symbol	TEX26	testis expressed 26	HGNC:28622	13q12.3
C13orf27	Previous symbol	TEX30	testis expressed 30	HGNC:25188	13q33.1
C13orf28	Previous symbol	SPACA7	sperm acrosome associated 7	HGNC:29575	13q34
C13orf30	Previous symbol	FAM216B	family with sequence similarity 216 member B	HGNC:26883	13q14.11
C13orf31	Previous symbol	LACC1	laccase domain containing 1	HGNC:26789	13q14.11
C13orf33	Previous symbol	MEDAG	mesenteric estrogen dependent adipogenesis	HGNC:25926	13q12.3
C13orf34	Previous symbol	BORA	bora, aurora kinase A activator	HGNC:24724	13q22.1
C13orf35	Previous symbol	ATP11AUN	ATP11A upstream neighbor	HGNC:33793	13q34
C13orf36	Previous symbol	SERTM1	serine rich and transmembrane domain containing 1	HGNC:33792	13q13.3
C13orf37	Previous symbol	MZT1	mitotic spindle organizing protein 1	HGNC:33830	13q22.1
C13orf38	Previous symbol	CCDC169	coiled-coil domain containing 169	HGNC:34361	13q13.3
C13orf39	Previous symbol	METTL21C	methyltransferase like 21C	HGNC:33717	13q33.1
C14orf101	Previous symbol	TMEM260	transmembrane protein 260	HGNC:20185	14q22.2
C14orf102	Previous symbol	NRDE2	NRDE-2, necessary for RNA interference, domain containing	HGNC:20186	14q32.11
C14orf104	Previous symbol	DNAAF2	dynein (axonemal) assembly factor 2	HGNC:20188	14q21.3
C14orf106	Previous symbol	MIS18BP1	MIS18 binding protein 1	HGNC:20190	14q21.1
C14orf109	Previous symbol	TMEM251	transmembrane protein 251	HGNC:20218	14q32.12
C14orf115	Previous symbol	VRTN	vertebrae development associated	HGNC:20223	14q24.2
C14orf118	Previous symbol	GPATCH2L	G-patch domain containing 2 like	HGNC:20210	14q24.3
C14orf126	Previous symbol	DTD2	D-tyrosyl-tRNA deacylase 2 (putative)	HGNC:20277	14q12
C14orf129	Previous symbol	GSKIP	GSK3B interacting protein	HGNC:20343	14q32.2
C14orf135	Previous symbol	PCNX4	pecanex homolog 4 (Drosophila)	HGNC:20349	14q23.1
C14orf138	Previous symbol	VCPKMT	valosin containing protein lysine methyltransferase	HGNC:20352	14q21.3
C14orf143	Previous symbol	EFCAB11	EF-hand calcium binding domain 11	HGNC:20357	14q32.11
C14orf145	Previous symbol	CEP128	centrosomal protein 128	HGNC:20359	14q31.1
C14orf147	Previous symbol	SPTSSA	serine palmitoyltransferase small subunit A	HGNC:20361	14q13.1
C14orf148	Previous symbol	NOXRED1	NADP-dependent oxidoreductase domain containing 1	HGNC:20487	14q24.3
C14orf149	Previous symbol	L3HYPDH	trans-L-3-hydroxyproline dehydratase	HGNC:20488	14q23.1
C14orf153	Previous symbol	APOPT1	apoptogenic 1, mitochondrial	HGNC:20492	14q32.33
C14orf156	Previous symbol	SLIRP	SRA stem-loop interacting RNA binding protein	HGNC:20495	14q24.3
C14orf166B	Previous symbol	LRRC74A	leucine rich repeat containing 74A	HGNC:23346	14q24.3
C14orf174	Previous symbol	SAMD15	sterile alpha motif domain containing 15	HGNC:18631	14q24.3
C14orf176	Previous symbol	TMEM253	transmembrane protein 253	HGNC:32545	14q11.2
C14orf179	Previous symbol	IFT43	intraflagellar transport 43	HGNC:29669	14q24.3
C14orf182	Previous symbol	LINC01588	long intergenic non-protein coding RNA 1588	HGNC:27503	14q22.1
C14orf183	Previous symbol	LINC01599	long intergenic non-protein coding RNA 1599	HGNC:27285	14q21.3
C14orf21	Previous symbol	NOP9	NOP9 nucleolar protein	HGNC:19826	14q12
C14orf38	Previous symbol	CCDC175	coiled-coil domain containing 175	HGNC:19847	14q23.1
C14orf4	Previous symbol	IRF2BPL	interferon regulatory factor 2 binding protein like	HGNC:14282	14q24.3
C14orf43	Previous symbol	ELMSAN1	ELM2 and Myb/SANT domain containing 1	HGNC:19853	14q24.3
C14orf45	Previous symbol	BBOF1	basal body orientation factor 1	HGNC:19855	14q24.3
C14orf49	Previous symbol	SYNE3	spectrin repeat containing, nuclear envelope family member 3	HGNC:19861	14q32.13
C14orf50	Previous symbol	PPP1R36	protein phosphatase 1 regulatory subunit 36	HGNC:20097	14q23.2
C14orf68	Previous symbol	SLC25A47	solute carrier family 25 member 47	HGNC:20115	14q32.2
C14orf73	Previous symbol	EXOC3L4	exocyst complex component 3 like 4	HGNC:20120	14q32.32
C15orf17	Previous symbol	FAM219B	family with sequence similarity 219 member B	HGNC:24695	15q23
C15orf2	Previous symbol	NPAP1	nuclear pore associated protein 1	HGNC:1190	15q11.2
C15orf23	Previous symbol	KNSTRN	kinetochore-localized astrin/SPAG5 binding protein	HGNC:30767	15q15.1
C15orf24	Previous symbol	EMC7	ER membrane protein complex subunit 7	HGNC:24301	15q14
C15orf26	Previous symbol	CFAP161	cilia and flagella associated protein 161	HGNC:26782	15q25.1
C15orf27	Previous symbol	TMEM266	transmembrane protein 266	HGNC:26763	15q23-q24.1
C15orf29	Previous symbol	KATNBL1	katanin regulatory subunit B1 like 1	HGNC:26199	15q13.2
C15orf33	Previous symbol	FAM227B	family with sequence similarity 227 member B	HGNC:26543	15q21.2
C15orf38	Previous symbol	ARPIN	actin-related protein 2/3 complex inhibitor	HGNC:28782	15q26.1
C15orf42	Previous symbol	TICRR	TOPBP1 interacting checkpoint and replication regulator	HGNC:28704	15q26.1
C15orf44	Previous symbol	VWA9	von Willebrand factor A domain containing 9	HGNC:25372	15q22.31
C15orf55	Previous symbol	NUTM1	NUT midline carcinoma, family member 1	HGNC:29919	15q14
C15orf58	Previous symbol	GDPGP1	GDP-D-glucose phosphorylase 1	HGNC:34360	15q26.1
C15orf60	Previous symbol	REC114	REC114 meiotic recombination protein	HGNC:25065	15q22
C15orf63	Previous symbol	HYPK	huntingtin interacting protein K	HGNC:18418	15q14
C16orf11	Previous symbol	PRR35	proline rich 35	HGNC:14139	16p13.3
C16orf3	Previous symbol	GAS8-AS1	GAS8 antisense RNA 1	HGNC:1197	16q24.3
C16orf42	Previous symbol	TSR3	TSR3, 20S rRNA accumulation, homolog (S. cerevisiae)	HGNC:14175	16p13.3
C16orf48	Previous symbol	ENKD1	enkurin domain containing 1	HGNC:25246	16q22.1
C16orf5	Previous symbol	CDIP1	cell death-inducing p53 target 1	HGNC:13234	16p13.3
C16orf53	Previous symbol	PAGR1	PAXIP1 associated glutamate rich protein 1	HGNC:28707	16p11.2
C16orf55	Previous symbol	SPATA33	spermatogenesis associated 33	HGNC:26463	16q24.3
C16orf57	Previous symbol	USB1	U6 snRNA biogenesis phosphodiesterase 1	HGNC:25792	16q13
C16orf61	Previous symbol	CMC2	C-x9-C motif containing 2	HGNC:24447	16q23.2
C16orf63	Previous symbol	FOPNL	FGFR1OP N-terminal like	HGNC:26435	16p13.11
C16orf68	Previous symbol	METTL22	methyltransferase like 22	HGNC:28368	16p13.2
C16orf7	Previous symbol	VPS9D1	VPS9 domain containing 1	HGNC:13526	16q24.3
C16orf73	Previous symbol	MEIOB	meiosis specific with OB domains	HGNC:28569	16p13.3
C16orf75	Previous symbol	RMI2	RecQ mediated genome instability 2	HGNC:28349	16p13.13
C16orf79	Previous symbol	BRICD5	BRICHOS domain containing 5	HGNC:28309	16p13.3
C16orf80	Previous symbol	CFAP20	cilia and flagella associated protein 20	HGNC:29523	16q21
C16orf88	Previous symbol	KNOP1	lysine-rich nucleolar protein 1	HGNC:34404	16p12.3
C16orf93	Previous symbol	CCDC189	coiled-coil domain containing 189	HGNC:28078	16p11.2
C17orf101	Previous symbol	OGFOD3	2-oxoglutarate and iron dependent oxygenase domain containing 3	HGNC:26174	17q25.3
C17orf103	Previous symbol	NATD1	N-acetyltransferase domain containing 1	HGNC:30770	17p11.2
C17orf104	Previous symbol	MEIOC	meiosis specific with coiled-coil domain	HGNC:26670	17q21.31
C17orf106	Previous symbol	TEN1	TEN1 CST complex subunit	HGNC:37242	17q25.1
C17orf108	Previous symbol	LYRM9	LYR motif containing 9	HGNC:27314	17q11.2
C17orf28	Previous symbol	HID1	HID1 domain containing	HGNC:15736	17q25.1
C17orf37	Previous symbol	MIEN1	migration and invasion enhancer 1	HGNC:28230	17q12
C17orf39	Previous symbol	GID4	GID complex subunit 4 homolog	HGNC:28453	17p11.2
C17orf42	Previous symbol	TEFM	transcription elongation factor, mitochondrial	HGNC:26223	17q11.2
C17orf46	Previous symbol	SPATA32	spermatogenesis associated 32	HGNC:26349	17q21.31
C17orf48	Previous symbol	ADPRM	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent	HGNC:30925	17p13.1
C17orf55	Previous symbol	LINC00482	long intergenic non-protein coding RNA 482	HGNC:26816	17q25.3
C17orf56	Previous symbol	ENTHD2	ENTH domain containing 2	HGNC:26458	17q25.3
C17orf57	Previous symbol	EFCAB13	EF-hand calcium binding domain 13	HGNC:26864	17q21.32
C17orf59	Previous symbol	BORCS6	BLOC-1 related complex subunit 6	HGNC:25939	17p13.1
C17orf60	Previous symbol	MILR1	mast cell immunoglobulin like receptor 1	HGNC:27570	17q23.3
C17orf61	Previous symbol	TMEM256	transmembrane protein 256	HGNC:28618	17p13.1
C17orf63	Previous symbol	FAM222B	family with sequence similarity 222 member B	HGNC:25563	17q11.2
C17orf65	Previous symbol	ASB16-AS1	ASB16 antisense RNA 1	HGNC:25442	17q21.31
C17orf66	Previous symbol	HEATR9	HEAT repeat containing 9	HGNC:26548	17q12
C17orf68	Previous symbol	CTC1	CTS telomere maintenance complex component 1	HGNC:26169	17p13.1
C17orf70	Previous symbol	FAAP100	Fanconi anemia core complex associated protein 100	HGNC:26171	17q25.3
C17orf71	Previous symbol	SMG8	SMG8 nonsense mediated mRNA decay factor	HGNC:25551	17q23.2
C17orf72	Previous symbol	PRR29	proline rich 29	HGNC:25673	17q23.3
C17orf76	Previous symbol	LRRC75A	leucine rich repeat containing 75A	HGNC:32403	17p11.2
C17orf79	Previous symbol	COPRS	coordinator of PRMT5, differentiation stimulator	HGNC:28848	17q11.2
C17orf81	Previous symbol	ELP5	elongator acetyltransferase complex subunit 5	HGNC:30617	17p13.1
C17orf85	Previous symbol	NCBP3	nuclear cap binding subunit 3	HGNC:24612	17p13.2
C17orf87	Previous symbol	SCIMP	SLP adaptor and CSK interacting membrane protein	HGNC:33504	17p13.2
C17orf90	Previous symbol	OXLD1	oxidoreductase like domain containing 1	HGNC:27901	17q25.3
C17orf95	Previous symbol	METTL23	methyltransferase like 23	HGNC:26988	17q25.2
C18orf1	Previous symbol	LDLRAD4	low density lipoprotein receptor class A domain containing 4	HGNC:1224	18p11.21
C18orf10	Previous symbol	TPGS2	tubulin polyglutamylase complex subunit 2	HGNC:24561	18q12.2
C18orf19	Previous symbol	FAM210A	family with sequence similarity 210 member A	HGNC:28346	18p11.21
C18orf22	Previous symbol	RBFA	ribosome binding factor A (putative)	HGNC:26120	18q23
C18orf26	Previous symbol	DYNAP	dynactin associated protein	HGNC:26808	18q21.2
C18orf34	Previous symbol	CCDC178	coiled-coil domain containing 178	HGNC:29588	18q12.1
C18orf45	Previous symbol	TMEM241	transmembrane protein 241	HGNC:31723	18q11.2
C18orf55	Previous symbol	TIMM21	translocase of inner mitochondrial membrane 21	HGNC:25010	18q22.3
C18orf56	Previous symbol	TYMSOS	TYMS opposite strand	HGNC:29553	18p11.32
C18orf62	Previous symbol	SMIM21	small integral membrane protein 21	HGNC:27598	18q23
C19orf10	Previous symbol	MYDGF	myeloid-derived growth factor	HGNC:16948	19p13.3
C19orf2	Previous symbol	URI1	URI1 prefoldin-like chaperone	HGNC:13236	19q12
C19orf20	Previous symbol	TPGS1	tubulin polyglutamylase complex subunit 1	HGNC:25058	19p13.3
C19orf21	Previous symbol	MISP	mitotic spindle positioning	HGNC:27000	19p13.3
C19orf22	Previous symbol	R3HDM4	R3H domain containing 4	HGNC:28270	19p13.3
C19orf26	Previous symbol	CBARP	CACN beta subunit associated regulatory protein	HGNC:28617	19p13.3
C19orf28	Previous symbol	MFSD12	major facilitator superfamily domain containing 12	HGNC:28299	19p13.3
C19orf29	Previous symbol	CACTIN	cactin, spliceosome C complex subunit	HGNC:29938	19p13.3
C19orf36	Previous symbol	IZUMO4	IZUMO family member 4	HGNC:26950	19p13.3
C19orf39	Previous symbol	SWSAP1	SWIM-type zinc finger 7 associated protein 1	HGNC:26638	19p13.2
C19orf40	Previous symbol	FAAP24	Fanconi anemia core complex associated protein 24	HGNC:28467	19q13.11
C19orf41	Previous symbol	IZUMO2	IZUMO family member 2	HGNC:28518	19q13.33
C19orf42	Previous symbol	SMIM7	small integral membrane protein 7	HGNC:28419	19p13.11
C19orf46	Previous symbol	SYNE4	spectrin repeat containing, nuclear envelope family member 4	HGNC:26703	19q13.12
C19orf50	Previous symbol	KXD1	KxDL motif containing 1	HGNC:28420	19p13.11
C19orf51	Previous symbol	DNAAF3	dynein (axonemal) assembly factor 3	HGNC:30492	19q13.42
C19orf55	Previous symbol	PROSER3	proline and serine rich 3	HGNC:25204	19q13.12
C19orf56	Previous symbol	WDR83OS	WD repeat domain 83 opposite strand	HGNC:30203	19p13.2
C19orf59	Previous symbol	MCEMP1	mast cell-expressed membrane protein 1	HGNC:27291	19p13.2
C19orf6	Previous symbol	TMEM259	transmembrane protein 259	HGNC:17039	19p13.3
C19orf61	Previous symbol	SMG9	SMG9 nonsense mediated mRNA decay factor	HGNC:25763	19q13.31
